PrdLevel,Date,Value,Cut,Short,Geography,Flag
I T C_BINGO TEDHE MEDHE,01-09-2017,75.8966,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,84.9672,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,81.9134,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,86.8355,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,87.5498,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,95.9786,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,105.6113,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,103.9514,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,115.9723,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,120.2482,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,127.4807,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,132.5721,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,128.2806,Zone,West,West,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,128.4016215,Zone,West,West,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,128.8277215,Zone,West,West,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,129.2538215,Zone,West,West,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,5.6284,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,5.5994,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,9.5745,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,13.5949,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,19.5493,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,20.2104,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,22.0011,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,22.4231,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,22.953,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,20.1875,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,25.5796,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,24.7931,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,22.532,State,AP,Andhra Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,23.19470588,State,AP,Andhra Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,23.85741176,State,AP,Andhra Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,24.52011765,State,AP,Andhra Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,169.9702,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,156.0663,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,167.4251,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,161.3561,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,173.6728,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,160.045,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,172.4561,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,151.1261,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,155.9841,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,161.283,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,161.952,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,157.2092,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,150.0819,State,AS,Assam,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,154.1469957,State,AS,Assam,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,151.8284455,State,AS,Assam,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,153.1508437,State,AS,Assam,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,183.3683,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,200.2068,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,216.6412,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,205.0216,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,192.4819,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,194.4565,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,207.9515,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,230.5033,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,248.4072,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,235.2126,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,220.8652,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,221.4024,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,226.44,State,BR,Bihar,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,226.44,State,BR,Bihar,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,226.44,State,BR,Bihar,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,226.44,State,BR,Bihar,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,7.5515,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,8.2368,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,8.1178,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,10.1378,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,11.5586,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,10.6907,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,12.6481,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,12.1424,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,13.0502,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,14.3266,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,17.4943,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,17.3684,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,18.5577,State,CG,Chhattisgarh,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,18.9838,State,CG,Chhattisgarh,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,19.4099,State,CG,Chhattisgarh,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,19.836,State,CG,Chhattisgarh,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,146.0662,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,173.7627,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,180.5875,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,176.2889,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,190.1144,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,181.66,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,193.5283,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,186.1839,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,185.8811,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,189.1798,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,191.0832,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,191.1938,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,201.0389,State,DL,Delhi,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,201.7259231,State,DL,Delhi,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,204.5944041,State,DL,Delhi,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,207.4628851,State,DL,Delhi,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,7.2655,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,7.7569,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,4.1697,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,4.2519,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,5.1656,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,6.0779,State,GJ,Gujarat,Training
